GramPanchayatName,IHHLTotalAsPerDetails,IHHLTotalAch,Standard of living index,Standard of living state rank,Health index,Health state rank,Education index,Education state rank,HDI,HDI state rank
gantiganahalli,710.0,710.0,0.3655,42.0,0.879,5288.0,0.7068,1475.0,0.6101,95.0
gopalapura,968.0,968.0,0.4044,10.0,1.0,1.0,0.7336,612.0,0.667,5.0
hunsamaranahalli,937.0,937.0,0.3677,39.0,1.0,1.0,0.7229,930.0,0.643,32.0
hurulichikkanahalli,3243.0,3243.0,0.3986,17.0,1.0,1.0,0.6992,1740.0,0.6532,16.0
kasagattapura,2317.0,2317.0,0.3901,24.0,0.9758,2796.0,0.7486,330.0,0.6581,9.0
kittanahalli,1558.0,1558.0,0.3272,83.0,1.0,1.0,0.7219,976.0,0.6182,75.0
kodigehalli,4359.0,4359.0,0.4333,2.0,0.9758,2796.0,0.6729999999999999,2691.0,0.6577,10.0
kadabagere,1606.0,1606.0,0.3687,38.0,1.0,1.0,0.679,2478.0,0.6302,53.0
madanayakanahalli,3212.0,3212.0,0.4041,11.0,1.0,1.0,0.6275,4076.0,0.6329,46.0
madavara,1733.0,1733.0,0.3533,51.0,1.0,1.0,0.7872,46.0,0.6527,18.0
marenahalli,1489.0,1489.0,0.341,63.0,1.0,1.0,0.7103,1361.0,0.6233,62.0
rajanukunte,3000.0,3000.0,0.3038,113.0,1.0,1.0,0.6874,2183.0,0.5933,127.0
shivakotte,1349.0,1349.0,0.4186,5.0,1.0,1.0,0.6813,2399.0,0.6582,8.0
singanayakanahalli,1748.0,1748.0,0.3943,22.0,1.0,1.0,0.6958,1867.0,0.6498,21.0
sondekoppa,1824.0,1824.0,0.38799999999999996,25.0,1.0,1.0,0.7243,887.0,0.655,13.0
sonnappanahalli,1526.0,1526.0,0.4086,9.0,1.0,1.0,0.6617,3066.0,0.6466,25.0
sonnenahalli,1833.0,1833.0,0.331,80.0,0.9758,2796.0,0.7231,926.0,0.6158,82.0
agara,2563.0,2563.0,0.2026,951.0,0.9758,2796.0,0.6648,2952.0,0.5084,1067.0
agara,2563.0,2563.0,0.2585,285.0,1.0,1.0,0.3861,5844.0,0.4638,2122.0
avalahalli,3038.0,3038.0,0.3317,78.0,1.0,1.0,0.7056,1510.0,0.6163,79.0
bidarahalli,1897.0,1897.0,0.2983,121.0,0.9255,4748.0,0.7519,289.0,0.5921,133.0
chikkanahalli,880.0,880.0,0.3981,18.0,0.9758,2796.0,0.7237,903.0,0.6551,12.0
choolanayakanahalli,1623.0,1623.0,0.3203,88.0,1.0,1.0,0.706,1496.0,0.6093,98.0
chunchanakuppe,1876.0,1876.0,0.3402,65.0,1.0,1.0,0.7221,969.0,0.6263,61.0
doddabanahalli,2484.0,2484.0,0.3293,81.0,1.0,1.0,0.7648,145.0,0.6315,49.0
doddagubbi,1349.0,1349.0,0.3275,82.0,0.9758,2796.0,0.7365,551.0,0.6174,76.0
doddathoguru,2283.0,2283.0,0.2839,152.0,1.0,1.0,0.73,718.0,0.5918,136.0
k.gollahalli,2177.0,2177.0,0.3349,70.0,1.0,1.0,0.7212,994.0,0.6228,63.0
kagglipura,2515.0,2515.0,0.2328,527.0,1.0,1.0,0.6459999999999999,3586.0,0.5318,667.0
konappanaagrahara,4120.0,4120.0,0.3533,50.0,1.0,1.0,0.7742,99.0,0.6492,22.0
kumbalagodu,1877.0,1877.0,0.3424,60.0,1.0,1.0,0.6934,1953.0,0.6192,70.0
manduru,3987.0,3987.0,0.3058,107.0,0.9758,2796.0,0.6996,1726.0,0.5932,128.0
ramohalli,863.0,863.0,0.2931,131.0,1.0,1.0,0.6824,2357.0,0.5849,161.0
somanahalli,2058.0,2058.0,0.3325,75.0,1.0,1.0,0.7407,469.0,0.6268,58.0
sulikere,1635.0,1635.0,0.3355,69.0,1.0,1.0,0.7177,1107.0,0.6222,65.0
taralu,1565.0,1565.0,0.3729,36.0,1.0,1.0,0.6804,2429.0,0.633,45.0
thaverekere,2186.0,2186.0,0.3543,49.0,1.0,1.0,0.7506,305.0,0.6431,31.0
kannuru,2662.0,2662.0,0.1811,1391.0,1.0,1.0,0.5242,5467.0,0.4562,2360.0
halanayakanahalli,1696.0,1696.0,0.2043,913.0,1.0,1.0,0.5983,4665.0,0.4963,1301.0
sheegehalli,709.0,709.0,0.3422,61.0,1.0,1.0,0.6629,3029.0,0.6099,97.0
kodathi,990.0,990.0,0.3114,97.0,1.0,1.0,0.6603,3123.0,0.5902,143.0
kachohalli,1747.0,1747.0,0.2627,261.0,1.0,1.0,0.6889,2124.0,0.5657,281.0
ajjanahalli,1303.0,1303.0,0.1366,2868.0,0.9255,4748.0,0.6025,4596.0,0.4238,3478.0
nelaguli,268.0,268.0,0.3992,16.0,0.951,4134.0,0.6908,2046.0,0.6401,37.0
kittaganuru,1643.0,1643.0,0.27699999999999997,183.0,1.0,1.0,0.6519,3406.0,0.5652,285.0
kannamangala,1155.0,1155.0,0.2615,269.0,1.0,1.0,0.8029999999999999,2.0,0.5943,124.0
machohalli,771.0,771.0,0.3666,41.0,1.0,1.0,0.7283,771.0,0.6439,29.0
billur,1695.0,789.0,0.1375,2838.0,1.0,1.0,0.6425,3668.0,0.4453,2737.0
chelur,1807.0,1213.0,0.1274,3301.0,0.951,4134.0,0.7259,837.0,0.4447,2764.0
ghantamvaripalli,2242.0,1422.0,0.1256,3365.0,0.8722,5365.0,0.5877,4824.0,0.4008,4136.0
gulur,1236.0,877.0,0.1109,4003.0,1.0,1.0,0.7449,403.0,0.4355,3088.0
joolapalya,1772.0,487.0,0.1406,2702.0,0.951,4134.0,0.6281,4058.0,0.4379,3004.0
marganukunte,1271.0,914.0,0.2567,299.0,0.8578,5472.0,0.7878,41.0,0.5577,352.0
mittemari,1376.0,964.0,0.1478,2413.0,0.9255,4748.0,0.61,4458.0,0.4369,3033.0
nallappareddy palli,1221.0,903.0,0.1142,3852.0,0.9758,2796.0,0.6349,3885.0,0.4136,3785.0
palyakere,1672.0,1394.0,0.1505,2300.0,1.0,1.0,0.6981,1776.0,0.4719,1875.0
paragodu,1410.0,873.0,0.1149,3819.0,0.951,4134.0,0.6357,3863.0,0.4111,3861.0
pathapalya,1498.0,1316.0,0.1644,1860.0,1.0,1.0,0.6904,2062.0,0.4842,1568.0
rashcharavu,1712.0,559.0,0.12300000000000001,3491.0,0.8359,5608.0,0.6307,3987.0,0.4018,4110.0
somanathapura,1872.0,996.0,0.13,3187.0,0.9758,2796.0,0.6723,2712.0,0.4402,2920.0
agalagurki,1234.0,1095.0,0.1372,2845.0,0.9758,2796.0,0.6673,2873.0,0.447,2687.0
angarekhanahalli,1777.0,953.0,0.1332,3028.0,0.9255,4748.0,0.6365,3846.0,0.4281,3331.0
doddapayalagurki,1347.0,748.0,0.1539,2181.0,0.9255,4748.0,0.6684,2836.0,0.4567,2346.0
gollahalli,1416.0,808.0,0.1802,1413.0,1.0,1.0,0.6761,2582.0,0.4957,1319.0
harobande,1577.0,1148.0,0.1766,1503.0,1.0,1.0,0.7170000000000001,1130.0,0.5021,1184.0
hosa hudya,1553.0,1025.0,0.1663,1797.0,0.8443,5544.0,0.6023,4602.0,0.439,2966.0
kammaguttahalli,1443.0,730.0,0.1515,2259.0,1.0,1.0,0.6463,3575.0,0.4609,2210.0
kondenahalli,1237.0,920.0,0.1361,2886.0,1.0,1.0,0.6698,2791.0,0.4501,2583.0
kuppa halli,1099.0,950.0,0.1626,1911.0,0.9758,2796.0,0.6970000000000001,1821.0,0.48,1663.0
manchana bele,1423.0,1013.0,0.1148,3823.0,0.9758,2796.0,0.5885,4812.0,0.40399999999999997,4044.0
mandikal,1133.0,1014.0,0.1309,3141.0,0.951,4134.0,0.6484,3517.0,0.4322,3212.0
muddena halli,1608.0,1295.0,0.1619,1932.0,0.9758,2796.0,0.6951,1889.0,0.4789,1682.0
nandi,1263.0,1015.0,0.1708,1657.0,0.9758,2796.0,0.6408,3720.0,0.4745,1829.0
patrena halli,1231.0,994.0,0.1239,3444.0,0.9255,4748.0,0.629,4027.0,0.4163,3717.0
peresandra,1450.0,1215.0,0.1243,3424.0,1.0,1.0,0.6864,2215.0,0.4403,2917.0
anur,1242.0,908.0,0.1551,2142.0,0.9758,2796.0,0.6157,4349.0,0.4534,2465.0
batlahalli,1317.0,521.0,0.1192,3640.0,1.0,1.0,0.6798,2452.0,0.4327,3192.0
bhommisettihalli,619.0,513.0,0.1211,3560.0,0.8992,5081.0,0.5855,4855.0,0.3995,4165.0
buradagunte,1326.0,613.0,0.14400000000000002,2556.0,0.9758,2796.0,0.6278,4066.0,0.4451,2749.0
chilakalanerpu,1284.0,628.0,0.1253,3385.0,0.8155,5661.0,0.6024,4598.0,0.3948,4282.0
chinnasandra,1429.0,1158.0,0.1527,2225.0,1.0,1.0,0.6418,3689.0,0.461,2206.0
doddaganjur,1034.0,828.0,0.1455,2490.0,1.0,1.0,0.6611,3091.0,0.4582,2299.0
hirekattigenahalli,1434.0,611.0,0.1453,2500.0,0.9758,2796.0,0.659,3164.0,0.4538,2448.0
iragampalli,1144.0,512.0,0.1492,2359.0,0.879,5288.0,0.6645,2967.0,0.4434,2816.0
kagathi,1076.0,698.0,0.1438,2564.0,0.9255,4748.0,0.6204,4240.0,0.4355,3090.0
kaiwara,1145.0,836.0,0.1869,1265.0,0.9758,2796.0,0.7171,1124.0,0.5076,1075.0
kattariguppa,1503.0,691.0,0.0819,5067.0,1.0,1.0,0.6804,2432.0,0.3819,4587.0
kencharlahalli,961.0,477.0,0.1388,2779.0,0.9758,2796.0,0.6384,3780.0,0.4422,2867.0
konapalli,1457.0,827.0,0.1192,3637.0,0.8992,5081.0,0.6774,2528.0,0.4172,3690.0
korlaparthi,1358.0,560.0,0.121,3566.0,0.8578,5472.0,0.63,4003.0,0.4029,4074.0
kotagal,1193.0,468.0,0.1255,3368.0,0.9255,4748.0,0.6887,2135.0,0.4309,3245.0
kurubur,1262.0,852.0,0.1424,2624.0,0.8992,5081.0,0.6957,1870.0,0.4466,2694.0
mastenahalli,1296.0,873.0,0.1319,3092.0,1.0,1.0,0.7065,1486.0,0.4533,2469.0
mitta halli,1453.0,700.0,0.1353,2920.0,0.8992,5081.0,0.6745,2631.0,0.4345,3122.0
moodlagollahalli,1060.0,662.0,0.1479,2408.0,1.0,1.0,0.6624,3039.0,0.461,2209.0
munaganahalli,2018.0,1057.0,0.1138,3865.0,0.9758,2796.0,0.6421,3679.0,0.4147,3759.0
muragamalla,1805.0,887.0,0.128,3275.0,0.8992,5081.0,0.6668,2886.0,0.425,3439.0
oolavadi,1573.0,1215.0,0.027000000000000003,5869.0,1.0,1.0,0.7796,75.0,0.2761,5824.0
peddur,1327.0,632.0,0.1349,2939.0,1.0,1.0,0.6139,4379.0,0.4359,3079.0
perumachana halli,1522.0,901.0,0.1322,3072.0,0.8359,5608.0,0.6864,2217.0,0.4233,3500.0
raguttahalli,1386.0,634.0,0.1246,3415.0,1.0,1.0,0.6602,3125.0,0.4349,3109.0
santekalla halli,1908.0,1078.0,0.1281,3271.0,1.0,1.0,0.6278,4065.0,0.4316,3224.0
settyhalli,1177.0,642.0,0.1479,2410.0,1.0,1.0,0.6773,2533.0,0.4644,2101.0
talagawara,1759.0,1045.0,0.1526,2228.0,1.0,1.0,0.6295,4015.0,0.45799999999999996,2307.0
upparapet,2003.0,946.0,0.1027,4300.0,0.9255,4748.0,0.5652,5118.0,0.3774,4686.0
yagavakote,931.0,555.0,0.1324,3065.0,0.879,5288.0,0.642,3685.0,0.4211,3568.0
yenigadele,1418.0,803.0,0.0909,4769.0,1.0,1.0,0.601,4619.0,0.3795,4635.0
allipura,694.0,694.0,0.0561,5683.0,1.0,1.0,0.7843,61.0,0.3531,5129.0
b.bommasandra,1628.0,696.0,0.1413,2675.0,0.9758,2796.0,0.6819,2379.0,0.4547,2412.0
bevinahalli,686.0,470.0,0.2356,502.0,0.8722,5365.0,0.6042,4572.0,0.4989,1254.0
bychapura,1403.0,663.0,0.135,2931.0,0.9758,2796.0,0.6703,2777.0,0.4453,2739.0
darinayakanapalya,1627.0,665.0,0.069,5407.0,1.0,1.0,0.5312,5423.0,0.3323,5426.0
g. bommsandra,1844.0,720.0,0.1215,3545.0,1.0,1.0,0.7004,1696.0,0.4398,2943.0
g. kothur,1632.0,1410.0,0.1578,2049.0,1.0,1.0,0.5485,5284.0,0.4423,2861.0
gangasandra,1992.0,974.0,0.1799,1421.0,0.9758,2796.0,0.6157,4347.0,0.4763,1768.0
gedare,1824.0,1208.0,0.1157,3778.0,0.9758,2796.0,0.6742,2640.0,0.4239,3477.0
halaganahalli,1149.0,903.0,0.1631,1892.0,1.0,1.0,0.6399,3737.0,0.4709,1907.0
halehalli,624.0,418.0,0.1796,1425.0,0.9758,2796.0,0.7192,1056.0,0.5014,1202.0
hirebidanur,2294.0,1716.0,0.0936,4681.0,1.0,1.0,0.6043,4566.0,0.3839,4537.0
hosur,1247.0,772.0,0.2087,850.0,1.0,1.0,0.6564,3254.0,0.5155,936.0
hudagur,1263.0,572.0,0.1037,4264.0,1.0,1.0,0.7004,1695.0,0.4173,3687.0
idagur,900.0,620.0,0.1718,1632.0,1.0,1.0,0.7409,468.0,0.503,1164.0
jarabandanahalli,1137.0,783.0,0.1362,2881.0,0.9758,2796.0,0.6902,2073.0,0.451,2553.0
kadalaveni,1272.0,889.0,0.1184,3673.0,0.951,4134.0,0.6352,3875.0,0.4151,3747.0
kallinayakanahalli,1735.0,956.0,0.079,5156.0,1.0,1.0,0.5854,4856.0,0.359,5021.0
kurudi,1520.0,852.0,0.1209,3568.0,1.0,1.0,0.5797,4939.0,0.4123,3823.0
manchenahalli,1123.0,1043.0,0.1117,3958.0,1.0,1.0,0.4742,5672.0,0.3756,4720.0
melya,1279.0,840.0,0.1109,4001.0,1.0,1.0,0.6513,3422.0,0.4165,3713.0
minakanagurki,1305.0,700.0,0.1072,4126.0,0.879,5288.0,0.6109,4442.0,0.3862,4481.0
mudagere,667.0,357.0,0.1382,2801.0,1.0,1.0,0.6607,3108.0,0.4503,2575.0
muddalodu,1298.0,693.0,0.1289,3231.0,1.0,1.0,0.688,2161.0,0.4459,2723.0
nagaragere,1210.0,607.0,0.1178,3696.0,0.951,4134.0,0.615,4359.0,0.41,3885.0
nakkalahalli,2096.0,704.0,0.15,2319.0,0.9758,2796.0,0.6739,2650.0,0.4621,2177.0
namagondlu,2262.0,992.0,0.1635,1888.0,0.8135,5711.0,0.7213,990.0,0.4578,2317.0
pura,2123.0,1154.0,0.1118,3951.0,0.9758,2796.0,0.7137,1237.0,0.4271,3375.0
ramapura,1802.0,780.0,0.1882,1236.0,0.8135,5711.0,0.525,5465.0,0.4316,3227.0
sonaganahalli,1686.0,686.0,0.1577,2054.0,0.9255,4748.0,0.6729,2694.0,0.4614,2194.0
taridalu,1269.0,623.0,0.0796,5137.0,0.9758,2796.0,0.6334,3911.0,0.3664,4881.0
thondebavi,2327.0,1495.0,0.1376,2830.0,0.951,4134.0,0.6775,2526.0,0.4459,2724.0
vatadahosahalli,1615.0,1089.0,0.127,3323.0,0.9758,2796.0,0.6397,3746.0,0.4296,3295.0
hampasandra,1751.0,1510.0,0.1342,2973.0,0.9255,4748.0,0.6825,2355.0,0.4392,2955.0
somenahalli,2175.0,1115.0,0.1455,2487.0,1.0,1.0,0.6663,2906.0,0.4594,2261.0
varlakonda,984.0,984.0,0.1001,4407.0,0.9758,2796.0,0.6292,4023.0,0.3946,4287.0
ablodu,1498.0,924.0,0.1716,1642.0,0.951,4134.0,0.638,3796.0,0.4704,1918.0
basettyhalli,1471.0,1043.0,0.1393,2754.0,0.9758,2796.0,0.6854,2252.0,0.4534,2467.0
bhakthara halli,1186.0,962.0,0.1322,3071.0,1.0,1.0,0.6925,1983.0,0.4507,2561.0
cheemangala,1292.0,1101.0,0.1623,1921.0,0.951,4134.0,0.6585,3174.0,0.4667,2034.0
devaramallur,1202.0,1002.0,0.1219,3528.0,0.9255,4748.0,0.611,4439.0,0.41,3886.0
dibburahalli,1401.0,856.0,0.1189,3653.0,1.0,1.0,0.5920000000000001,4763.0,0.4129,3804.0
doddateka halli,894.0,550.0,0.1457,2483.0,0.951,4134.0,0.6666,2893.0,0.452,2515.0
ganjigunte,1004.0,610.0,0.1451,2511.0,0.9758,2796.0,0.5959,4708.0,0.4386,2979.0
handiganala,1299.0,1102.0,0.1317,3103.0,0.9758,2796.0,0.6571,3220.0,0.4387,2976.0
hosapete,1599.0,1284.0,0.1367,2864.0,0.9758,2796.0,0.64,3735.0,0.4403,2916.0
jangamakote,1056.0,880.0,0.0655,5482.0,1.0,1.0,0.6366,3838.0,0.3467,5223.0
kothanur,1257.0,828.0,0.1448,2521.0,0.8578,5472.0,0.6119,4418.0,0.4236,3486.0
kumbigana halli,1277.0,993.0,0.1418,2646.0,1.0,1.0,0.6343,3894.0,0.4481,2651.0
kundalagurki,971.0,628.0,0.1178,3698.0,1.0,1.0,0.6783,2500.0,0.4307,3252.0
malamachana halli,1425.0,1161.0,0.1149,3822.0,1.0,1.0,0.6086,4491.0,0.4119,3832.0
mallur,1058.0,776.0,0.154,2177.0,0.9758,2796.0,0.6836,2317.0,0.4683,1984.0
melur,1283.0,1283.0,0.1508,2283.0,1.0,1.0,0.655,3305.0,0.4623,2170.0
nagamangala,590.0,590.0,0.1104,4020.0,1.0,1.0,0.6104,4452.0,0.4069,3968.0
palicherlu,1051.0,620.0,0.1451,2512.0,0.9758,2796.0,0.6206,4238.0,0.4446,2772.0
s. devaganahalli,1408.0,830.0,0.1509,2279.0,0.951,4134.0,0.6314,3972.0,0.4492,2614.0
sadali,1444.0,900.0,0.1345,2959.0,0.9255,4748.0,0.6728,2696.0,0.4375,3018.0
thimmanayakana halli,1228.0,623.0,0.1255,3372.0,0.951,4134.0,0.6569,3224.0,0.428,3336.0
thimmsandra,1276.0,875.0,0.1236,3459.0,0.951,4134.0,0.6144,4366.0,0.4165,3714.0
thummanahalli,1338.0,772.0,0.1295,3207.0,0.9758,2796.0,0.6527,3377.0,0.4353,3095.0
venkatapura,1320.0,1320.0,0.1434,2589.0,1.0,1.0,0.6894,2108.0,0.4624,2169.0
y. hunasenahalli,777.0,475.0,0.1341,2975.0,0.9255,4748.0,0.6619,3056.0,0.4347,3116.0
mindigal,532.0,393.0,0.0996,4431.0,0.9758,2796.0,0.6922,1998.0,0.4067,3974.0
baraguru,1547.0,522.0,0.14300000000000002,2601.0,0.9758,2796.0,0.644,3637.0,0.4479,2656.0
barakanallu,1629.0,619.0,0.1304,3160.0,0.8155,5661.0,0.6614,3078.0,0.4128,3805.0
bellagulla,1702.0,442.0,0.1299,3190.0,1.0,1.0,0.6718,2726.0,0.4436,2806.0
chowlakatte,1134.0,585.0,0.1113,3981.0,1.0,1.0,0.7083,1423.0,0.4288,3309.0
dasodi,1384.0,455.0,0.1155,3790.0,1.0,1.0,0.5593,5179.0,0.4013,4126.0
doddabidre,1708.0,435.0,0.13699999999999998,2854.0,1.0,1.0,0.7129,1259.0,0.4606,2224.0
doddayenegere,2546.0,402.0,0.1495,2346.0,1.0,1.0,0.7151,1187.0,0.4746,1825.0
dugudihalli,1246.0,483.0,0.1144,3838.0,1.0,1.0,0.7078,1442.0,0.4327,3195.0
ganadallu,1249.0,338.0,0.0906,4781.0,0.9758,2796.0,0.6886,2138.0,0.3933,4317.0
godekere,1852.0,709.0,0.1482,2390.0,1.0,1.0,0.7212,996.0,0.4746,1826.0
handanakere,1726.0,995.0,0.1549,2157.0,1.0,1.0,0.6875,2176.0,0.474,1837.0
honnebagi,1422.0,555.0,0.188,1242.0,0.9758,2796.0,0.6689,2821.0,0.4969,1289.0
hoysalakatte,1625.0,408.0,0.1604,1970.0,1.0,1.0,0.7343,594.0,0.4902,1448.0
huliyur,3077.0,2019.0,0.1252,3387.0,1.0,1.0,0.6917,2023.0,0.4424,2857.0
j.c.pura,836.0,519.0,0.1158,3773.0,0.9758,2796.0,0.6854,2250.0,0.4263,3398.0
kandikere,1945.0,678.0,0.1051,4201.0,1.0,1.0,0.6898,2085.0,0.41700000000000004,3698.0
kenkere,1295.0,539.0,0.1164,3748.0,1.0,1.0,0.6931,1963.0,0.4321,3215.0
koragere,1857.0,431.0,0.1177,3700.0,1.0,1.0,0.6747,2627.0,0.4298,3285.0
kuppur,2618.0,519.0,0.1328,3040.0,0.8359,5608.0,0.7268,807.0,0.4321,3213.0
malligere,1746.0,612.0,0.1081,4098.0,0.951,4134.0,0.6444,3631.0,0.4046,4030.0
mathighatta,1730.0,825.0,0.0969,4535.0,0.951,4134.0,0.7237,905.0,0.4055,4005.0
muddenahalli,1115.0,577.0,0.1377,2825.0,1.0,1.0,0.691,2042.0,0.4565,2351.0
ramanahalli,1011.0,696.0,0.0978,4505.0,0.8135,5711.0,0.7016,1643.0,0.3821,4582.0
shettykere,1780.0,574.0,0.1551,2148.0,1.0,1.0,0.7161,1152.0,0.4806,1642.0
timmanahalli,1408.0,399.0,0.115,3814.0,0.9758,2796.0,0.6462,3579.0,0.41700000000000004,3694.0
tirthapura,1348.0,400.0,0.1232,3483.0,1.0,1.0,0.6561,3266.0,0.4324,3206.0
yalanadu,1237.0,479.0,0.1661,1804.0,1.0,1.0,0.6686,2831.0,0.4807,1640.0
adagur,2344.0,1179.0,0.1622,1924.0,0.9758,2796.0,0.7156,1169.0,0.4839,1576.0
allilughatta,1908.0,376.0,0.1411,2684.0,0.951,4134.0,0.7037,1576.0,0.4553,2389.0
ammanaghatta,1225.0,524.0,0.1309,3140.0,0.951,4134.0,0.6574,3207.0,0.4342,3137.0
ankasandra,1693.0,480.0,0.1197,3614.0,0.951,4134.0,0.6884,2151.0,0.428,3335.0
bidire,2126.0,652.0,0.1356,2910.0,1.0,1.0,0.6954,1884.0,0.4552,2393.0
chandrashekarapura,2087.0,1369.0,0.1074,4121.0,0.879,5288.0,0.6646,2964.0,0.3974,4211.0
chellur,1568.0,866.0,0.1413,2674.0,1.0,1.0,0.6957,1869.0,0.4615,2191.0
chengavi,1994.0,692.0,0.1388,2778.0,1.0,1.0,0.6982,1775.0,0.4594,2262.0
doddagunni,2028.0,495.0,0.1444,2539.0,0.7856,5761.0,0.6947,1904.0,0.4287,3312.0
g.hosahalli,1900.0,481.0,0.1143,3844.0,0.9758,2796.0,0.6554,3292.0,0.4181,3660.0
hagalavadi,1619.0,352.0,0.1514,2260.0,0.9255,4748.0,0.6404,3728.0,0.4477,2666.0
herur,1936.0,966.0,0.15,2320.0,1.0,1.0,0.6092,4477.0,0.4504,2570.0
hindsagere,1522.0,436.0,0.1485,2384.0,1.0,1.0,0.7283,770.0,0.4764,1761.0
hosakere,1668.0,587.0,0.1438,2565.0,1.0,1.0,0.7082,1428.0,0.467,2026.0
irakasandra,1668.0,720.0,0.136,2892.0,0.8443,5544.0,0.6686,2827.0,0.425,3438.0
kadaba,1073.0,881.0,0.2325,530.0,0.8992,5081.0,0.6865,2212.0,0.5236,801.0
kallur,1307.0,551.0,0.0839,4999.0,1.0,1.0,0.6564,3252.0,0.3805,4612.0
kondli,1580.0,564.0,0.131,3137.0,0.9758,2796.0,0.6777,2517.0,0.4425,2855.0
koppa,1253.0,629.0,0.2175,704.0,0.8992,5081.0,0.7149,1195.0,0.519,868.0
kunnala,1584.0,482.0,0.1274,3304.0,1.0,1.0,0.7099,1374.0,0.4488,2622.0
manchaladore,1618.0,391.0,0.1359,2896.0,0.9758,2796.0,0.6482,3521.0,0.4413,2889.0
marashettyhalli,1677.0,474.0,0.2164,732.0,0.9758,2796.0,0.6257,4117.0,0.5093,1054.0
mavinahalli,1138.0,541.0,0.136,2894.0,0.9758,2796.0,0.6924,1992.0,0.4512,2547.0
doddabanagere,1124.0,392.0,0.09300000000000001,4698.0,0.9758,2796.0,0.6478,3531.0,0.3888,4422.0
dvaranakunte,1268.0,398.0,0.10400000000000001,4250.0,0.9758,2796.0,0.6657,2925.0,0.4073,3961.0
gopaladevarahalli,669.0,206.0,0.1311,3132.0,1.0,1.0,0.6507,3445.0,0.4402,2924.0
gowdagere,1232.0,375.0,0.1651,1838.0,0.9758,2796.0,0.6746,2629.0,0.4772,1740.0
handikunte,759.0,289.0,0.1066,4144.0,1.0,1.0,0.6289,4030.0,0.4062,3987.0
honnagondanahalli,1007.0,442.0,0.0178,5879.0,1.0,1.0,0.6773,2534.0,0.2292,5874.0
